provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
telstra,5G,Basic 5G Business Internet,25,5,70.0,,,No Lock-in,25,5,https://www.telstra.com.au/small-business/internet
telstra,5G,Essential 5G Business Internet,50,20,80.0,,,No Lock-in,50,20,https://www.telstra.com.au/small-business/internet
telstra,5G,Premium 5G Business Internet,300,30,85.0,,,No Lock-in,300,30,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Essential nbn®,50,17,120.0,,,No Lock-in,50,17,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Premium nbn®,100,32,125.0,,,No Lock-in,100,32,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Essential nbn® Internet Only,50,17,105.0,,,No Lock-in,50,17,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Pro Fast nbn®,250,80,125.0,,,No Lock-in,250,80,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Premium nbn® Internet Only,100,32,110.0,,,No Lock-in,100,32,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Pro Fast nbn® Internet Only,250,80,110.0,,,No Lock-in,250,80,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Pro Superfast nbn®,500,160,145.0,,,No Lock-in,500,160,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Pro Superfast nbn® Internet Only,500,160,129.0,,,No Lock-in,500,160,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Pro Ultrafast nbn®,815,320,175.0,,,No Lock-in,815,320,https://www.telstra.com.au/small-business/internet
telstra,Business NBN,Pro Ultrafast nbn® Internet Only,815,320,159.0,,,No Lock-in,815,320,https://www.telstra.com.au/small-business/internet
